Yellow,#FFFF00
Yellow (Munsell),#FFDB00
Yellow (Pantone),#FEDF00
Light yellow,#FFFFE0
Cream,#FFFFCC
Lemon chiffon,#FFFACD
Lemon (Crayola),#FDFF00
Mellow yellow,#F8DE7E
Royal yellow,#FADA5E
Gold (Golden),#FFD700
Cyber yellow,#FFD300
Safety yellow,#EED202
Greenish yellow,#EEEA62
Chartreuse yellow,#DFFF00
Pear,#D1E231
Moccasin,#ffe4b5
White,#FFFFFF
Chalk white,#FBFFFF
Ghost white,#F8F8FF
White smoke,#F5F5F5
White solid,#F4F5FA
Baby powder,#FEFEFA
Snow,#FFFAFA
Ivory,#FFFFF0
Floral white,#FFFAF0
Seashell,#FFF5EE
Bone white,#F9F6EE
Cornsilk,#FFF8DC
Old lace,#FDF5E6
Cream*,#FFFDD0
Parchment,#F1E9D2
Antique white,#FAEBD7
Champagne,#F7E7CE
Eggshell,#F0EAD6
Dutch white,#EFDFBB
Bone,#E3DAC9
Vanilla,#F3E5AB
Flax,#EEDC82
Navajo white,#FFDEAD
Alabaster,#EDEAE0
Linen,#FAF0E6
Red,#FF0000
Red (CMYK) (pigment red),#ED1B24
Red (Crayola),#ED0A3F
Red (Munsell),#FF0042
Red (NCS),#C40234
Red (Pantone),#ED2839
Madder,#A50021
Crimson,#DC143C
Salmon Pink,#FF91A4
Cardinal,#C51E3A
Apple red,#BE0032
Poppy red,#DC343B
Carmine,#960018
Spanish red,#E60026
Rusty red,#DA2C43
Chocolate Cosmos,#58111A
Rosewood,#65000B
Imperial Red,#ED2939
Cordovan,#893F45
Fire engine red,#CE2029
Rose vale,#AB4E52
Old rose,#C08081
Bittersweet shimmer,#BF4F51
Light red,#FF8080
Light coral,#F08080
Garnet,#733635
Rose ebony,#674846
Chili red,#E03C31
Vermilion,#E34234
Turkey red,#A91101
Salmon,#FA8072
Cantaloupe Melon,#FDBCB4
Barn Red,#7C0902
Blood red,#660000
Cinnabar,#E44D2E
Dark red,#8B0000
Fire brick,#B22222
Indian Red,#CD5C5C
Lust,#E62020
Redwood,#A45953
Scarlet,#FF2400
Tomato,#FF6347
Jasper,#D05340
Rose taupe,#905D5D
Amaranth,#E52B50
Fluorescent red,#FF2226
Violet,#7F00FF
Electric Violet,#8F00FF
Vivid Violet,#9F00FF
Violet (web color),#EE82EE
Dark Violet,#9400D3
Ultra Violet,#645394
African Violet,#B284BE
Chinese Violet,#856088
English Violet,#563C5C
French Violet,#8806CE
Violet (JTC),#5B3256
Violet (G&S),#4C2882
Russian Violet,#32174D
Grape,#6F2DA8
Lavender,#B57EDC
Mauve (Mallow),#E0B0FF
Wisteria,#C9A0DC
Pink,#FFC0CB
Light Pink,#FFB6C1
Hot Pink,#FF69B4
Deep Pink,#FF1493
Pastel pink,#FFD1DC
Champagne Pink,#F1DDCF
Pink Lace,#FFDDF4
Pale Pink,#F9CCCA
Baby Pink,#F4C2C2
Pink (G&S),#F7BFBE
Cameo Pink,#EFBBCC
Orchid Pink,#F2BDCD
Fairy Tale,#F2C1D1
Cherry Blossom Pink,#FFB7C5
Light Hot Pink,#FFB3DE
Baker-Miller Pink,#FF91AF
Amaranth Pink,#F19CBB
American Pink,#FF9899
Charm Pink,#E68FAC
China Pink,#DE6FA1
Mimi Pink,#FFDAE9
Misty Rose,#FFE4E1
Tango Pink,#E4717A
Coral Pink,#F88379
New York Pink,#D7837F
Solid Pink,#893843
Silver Pink,#C4AEAD
Queen Pink,#E8CCD7
Pink Lavender,#DBB2D1
Mountbatten Pink,#997A8D
Chilean Pink,#E8C3BA
Pale Dogwood,#EDCDC2
Pink (Pantone),#D74894
Mexican Pink,#E4007C
Barbie Pink,#DA1884
Fandango Pink,#DE5285
Paradise Pink,#E63E62
French Pink,#FD6C9E
Bright Pink,#FF007F
Persian Pink,#F77FBE
Rose Pink,#FF66CC
Light Deep Pink,#FF5CCD
Shocking Pink,#FC0FC0
Super Pink,#CF6BA9
Rose Pompadour,#ED7A9B
Bubblegum Pink,#F58092
Lusty gallant,#FFCCCC
Brink Pink,#FB607F
Cotton Candy,#FFBCD9
Carnation Pink,#FFA6C9
Piggy Pink,#FDDDE6
Lavender Pink,#FBAED2
Steel Pink,#CC33CC
Tickle Me Pink,#FC89AC
Ultra Pink,#FF6FFF
Orange,#FFA500
Orange (color wheel),#FF8000
Dark orange,#FF8C00
Safety Orange,#FF7900
International Orange  (Aerospace),#FF4F00
International Orange (Golden Gate Bridge),#F04A00
Orange (Pantone),#FF5800
Orange (Crayola),#FF7538
Papaya Whip,#FFEFD5
Peach,#FFE5B4
Light orange,#FED8B1
Apricot,#FBCEB1
Atomic tangerine,#FF9966
Xanthous,#F1B42F
Carrot orange,#ED9121
Orange peel,#FF9F00
Princeton orange,#E77500
UT orange,#FF8200
Orange (G&S),#E86100
Tangerine,#F28500
Coral,#FF7F50
Pumpkin,#FF7518
Tangelo,#F94D00
Saffron,#F4C430
Goldenrod,#DAA520
Hunyadi yellow,#E8AC41
Giants orange,#FE5A1D
Persimmon,#EC5800
Butterscotch,#E09540
Persian orange,#D99058
Alloy orange,#C46210
Burnt orange,#BF5700
Tiger’s Eye,#B56917
Apricot Peach,#F8C8B0
Magenta,#FF00FF
Magenta dye,#CA1F7B
Magenta (subtractive primary),#FF0090
Magenta (Pantone),#D0417E
Magenta (Crayola),#F653A6
Dark Magenta,#8B008B
Hot Magenta,#FF1DCE
Magenta Haze,#9F4576
Magnetic Magenta,#BF3981
Quinacridone Magenta,#9A114F
Sky Magenta,#CF71AF
Telemagenta,#CF3476
Amaranth purple,#AB274F
Orchid,#DA70D6
Pale Purple,#FAE6FA
Plum (Crayola),#843179
Purple Pizzazz,#FE4EDA
Razzle dazzle rose,#FF33CC
Finn,#683068
Green,#00FF00
Green (HTML/CSS color) (Office Green),#008000
Green (CMYK) (pigment green),#00A550
Green (NCS),#009F6B
Green (Munsell),#00FFB5
